Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Laufen – Dauer (ms)
13:30:00.000+05:30,13:45:00.000+05:30,,15.554687326336067,,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,15.554687326336067,,,,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,15.554686665733009,15.070673942565918,,,,,,,0.2511778771877289,0.2511778771877289,0.2511778771877289,26,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,15.554685767591065,,,,,,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,15.554685767591065,,,,,,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,15.554685767591065,,,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,15.554685767591065,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,15.554685767591065,,,,,,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,15.554685767591065,,,,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,4,60.85618046407247,125.27945566177368,,,,,,,0.7091585472817976,1.478094220161438,0.29856643080711365,200,,,,358208
16:00:00.000+05:30,16:15:00.000+05:30,,15.554687708421184,,,,,,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,15.554687708421184,,,,,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,15.554687708421184,,,,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,15.55468791828,,,,,,,,,,,12,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,15.554687992606873,,,,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,15.554687992606873,,,,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,15.554687992606873,,,,,,,,,,,15,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,15.554687992606873,,,,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,10,15.554687992606873,324.2586324791463,2.0,2,,,,,0.7032375633716583,1.105061650276184,0.30141347646713257,514,,,,
18:15:00.000+05:30,18:30:00.000+05:30,7,15.554687222215744,213.8189584632365,,,,,,,0.4879651963710785,0.4879651963710785,0.4879651963710785,352,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,15.55468657328396,,,,,,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,15.55468657328396,,,,,,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,15.55468657328396,,,,,,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,15.55468657328396,,,,,,,,,,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,7,15.55468657328396,279.75408935546875,,,,,,,0.580270731017171,1.0560013055801392,0.3014134466648102,497,,,,
19:45:00.000+05:30,20:00:00.000+05:30,2,15.55468657328396,66.31096649169922,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,110,,,,
20:00:00.000+05:30,20:15:00.000+05:30,1,15.55468657328396,27.952484127168944,,,,,,,,,,46,,,,
20:15:00.000+05:30,20:30:00.000+05:30,2,15.554686554600302,63.67721176516504,,,,,,,0.3014134466648102,0.3014134466648102,0.3014134466648102,106,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,15.554686019623686,,,,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,15.554686019623686,,,,,,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,15.554686019623686,,,,,,,,,,,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,15.554686019623686,,,,,,,,,,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,15.554686019623686,,,,,,,,,,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,15.554686019623686,,,,,,,,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,15.554686019623686,,,,,,,,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,1,15.554686019623686,27.730039596557617,,,,,,,0.8355693221092224,0.8355693221092224,0.8355693221092224,63,,,,
22:30:00.000+05:30,22:45:00.000+05:30,1,15.554685727314016,31.949829578399658,,,,,,,0.49190972745418543,0.6824060082435608,0.3014134466648102,53,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,15.554685411107233,,,,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,15.554685411107233,,,,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,15.554685411107233,,,,,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,15.554685411107233,,,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,2,15.554685728013656,48.61951446533203,,,,,,,0.7533397376537323,1.205265998840332,0.30141347646713257,77,,,,
