Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Intervalltraining mit hoher Intensität – Dauer (ms),Gehen mit Schritttempovorgabe – Dauer (ms)
11:15:00.000+05:30,11:30:00.000+05:30,1,15.554687090065615,30.85389804840088,,,,,,,0.3014134466648102,0.3014134466648102,0.3014134466648102,51,,,,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,1,15.554687090065615,55.46008110046387,,,,,,,0.454409658908844,0.6074058413505554,0.30141347646713257,92,,,,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,15.554687090065615,,,,,,,,,,,,,,,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,,15.554687090065615,7.836750507354736,,,,,,,0.48536792397499084,0.48536792397499084,0.48536792397499084,47,,,,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,15.554687090065615,,,,,,,,,,,,,,,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,1,15.554687090065615,64.31558895111084,,,,,,,0.3014134466648102,0.3014134466648102,0.3014134466648102,123,,,,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,7,20.731479016258533,203.4879493713379,,,,,,,0.6934772832892077,1.2628945112228394,0.3014134466648102,325,,,,,,93191,,
13:00:00.000+05:30,13:15:00.000+05:30,,15.554686497701365,,,,,,,,,,,,,,,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,15.554686497701365,,,,,,,,,,,,,,,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,15.554686497701365,,,,,,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,15.554686497701365,,,,,,,,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,15.554686497701365,,,,,,,,,,,17,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,15.554686497701365,,,,,,,,,,,,,,,,,,,
