Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Gehen – Dauer (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,2,15.554686876971534,69.92792510986328,,,,,,,0.4413497534855309,0.5858867764472961,0.2913663387298584,116,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,15.554686876971534,,,,,,,,,,,7,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,15.554686876971534,,,,,,,,,,,5,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,15.554686876971534,,,,,,,,,,,,,,,
07:00:00.000+05:30,07:15:00.000+05:30,8,38.78817429464709,316.0762882232666,1.0,1,,,,,0.8581136137099429,1.3653371334075928,0.3952356278896332,539,,,,418242
07:15:00.000+05:30,07:30:00.000+05:30,,15.554686381047361,,,,,,,,,,,,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,15.554686381047361,,,,,,,,,,,,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,15.554686381047361,,,,,,,,,,,,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,15.554686381047361,,,,,,,,,,,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,1,15.554686381047361,31.68320513627653,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,53,,,,
08:30:00.000+05:30,08:45:00.000+05:30,15,26.549623179483206,1166.178468256065,11.0,10,,,,,1.3680884164493516,2.147796392440796,0.7253902554512024,1654,,,,197928
08:45:00.000+05:30,09:00:00.000+05:30,15,15.554687786786996,1257.595694348258,14.0,14,,,,,1.3805569154050013,1.7467454671859741,0.5788735747337341,1777,,,,
09:00:00.000+05:30,09:15:00.000+05:30,4,17.727501745046627,263.55395761874536,3.0,3,,,,,1.3466470998572213,1.6435863971710205,1.0392634868621826,403,,,,39115
09:15:00.000+05:30,09:30:00.000+05:30,,15.55468643679619,,,,,,,,,,,,,,,
09:30:00.000+05:30,09:45:00.000+05:30,,21.92047848718982,16.27632713317871,,,,,,,0.27127209305763245,0.27127209305763245,0.27127209305763245,27,,,,114595
09:45:00.000+05:30,10:00:00.000+05:30,4,27.14503324751572,265.1233546598259,2.0,2,,,,,0.8603234715838615,1.4835807085037231,0.44906195998191833,426,,,,208646
10:00:00.000+05:30,10:15:00.000+05:30,15,56.00825957310124,1021.943540467098,9.0,9,,,,,1.145688563567494,1.6126317977905273,0.40872320532798767,1512,,,,728232
10:15:00.000+05:30,10:30:00.000+05:30,13,25.083376238557797,352.60935342349114,,,,,,,0.4575900034075888,0.7473403215408325,0.30141347646713257,611,,,,171533
10:30:00.000+05:30,10:45:00.000+05:30,6,15.554687790682564,125.99083006381989,,,,,,,0.3919386499697792,0.5702511072158813,0.2511778771877289,246,,,,
10:45:00.000+05:30,11:00:00.000+05:30,,21.582343915071803,,,,,,,,,,,26,,,,108508
11:00:00.000+05:30,11:15:00.000+05:30,6,15.554687408471036,185.3403901478308,,,,,,,0.553702110275735,1.264865756034851,0.3014134466648102,305,,,,
11:15:00.000+05:30,11:30:00.000+05:30,4,15.554687408471036,240.03751188311406,2.0,2,,,,,0.7126308029456468,1.4568390846252441,0.2511778771877289,368,,,,
11:30:00.000+05:30,11:45:00.000+05:30,1,15.554687408471036,48.828983306884766,,,,,,,0.3014134615659714,0.30141347646713257,0.3014134466648102,81,,,,
11:45:00.000+05:30,12:00:00.000+05:30,10,28.440669952329607,446.50791769136816,1.0,1,,,,,0.8750246740596309,1.6204493045806885,0.30141347646713257,702,,,,231970
12:00:00.000+05:30,12:15:00.000+05:30,15,15.554687552088117,608.5523412809628,1.0,1,,,,,0.8565017627780712,2.1515729427337646,0.3080681264400482,969,,,,
12:15:00.000+05:30,12:30:00.000+05:30,6,15.554687552088117,150.60055435927296,,,,,,,0.3396660682440578,0.6062116622924805,0.3014134466648102,250,,,,
12:30:00.000+05:30,12:45:00.000+05:30,1,15.554687552088117,23.68556668400413,,,,,,,0.5791311860084534,0.5791311860084534,0.5791311860084534,73,,,,
12:45:00.000+05:30,13:00:00.000+05:30,2,18.81521352606099,62.32006476283425,,,,,,,0.40025946497917175,0.40025946497917175,0.40025946497917175,117,,,,58695
13:00:00.000+05:30,13:15:00.000+05:30,,15.554685800331372,9.031192779541016,,,,,,,,,,42,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,15.554685800331372,15.673501014709473,,,,,,,0.26122501492500305,0.26122501492500305,0.26122501492500305,26,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,15.554685800331372,,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,15.554685800331372,,,,,,,,,,,,,,,
