Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms)
13:15:00.000+05:30,13:30:00.000+05:30,,15.554687156871415,15.070673942565918,,,,,,,0.2511778771877289,0.2511778771877289,0.2511778771877289,25,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,15.554687156871415,,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,15.554687156871415,,,,,,,,,,,14,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,15.554687066312574,,,,,,,,,,,17,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,15.554686951219974,16.27632713317871,,,,,,,0.27127209305763245,0.27127209305763245,0.27127209305763245,27,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,15.554686951219974,8.35172518895467,,,,,,,,,,14,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,15.554686951219974,9.13025608851115,,,,,,,0.2913663387298584,0.2913663387298584,0.2913663387298584,27,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,15.55468706438787,21.09894371032715,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,35,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,15.554687217142815,,,,,,,,,,,15,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,15.554687217142815,,,,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,15.554687217142815,,,,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,15.554686608505557,,,,,,,,,,,16,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,15.554686498936855,,,,,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,15.554686498936855,,,,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,15.554686498936855,,,,,,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,15.554686498936855,,,,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,15.554686498936855,,,,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,15.554686498936855,,,,,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,15.554686498936855,,,,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,15.554686498936855,,,,,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,15.554686498936855,,,,,,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,15.554686498936855,,,,,,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,15.554686498936855,,,,,,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,5,15.554686498936855,103.99519862500372,,,,,,,,,,173,,,,
19:15:00.000+05:30,19:30:00.000+05:30,15,15.554686498936855,271.272127256629,,,,,,,,,,450,,,,
19:30:00.000+05:30,19:45:00.000+05:30,15,15.554686498936855,271.272127256629,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,450,,,,
19:45:00.000+05:30,20:00:00.000+05:30,15,15.554686498936855,271.272127256629,,,,,,,,,,450,,,,
20:00:00.000+05:30,20:15:00.000+05:30,6,15.554686498936855,245.0177386053535,,,,,,,0.6872391692350533,1.1609803438186646,0.3014134466648102,418,,,,
20:15:00.000+05:30,20:30:00.000+05:30,5,15.554686663118435,264.11739349365234,2.0,2,,,,,1.0144133453367903,1.3892161846160889,0.5941230654716492,420,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,15.554686912013848,,,,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,15.554686912013848,,,,,,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,15.554686912013848,,,,,,,,,,,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,15.554686912013848,,,,,,,,,,,1,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,15.554686967626111,,,,,,,,,,,33,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,15.55468700675939,,,,,,,,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,15.554687026157001,32.55265522003174,,,,,,,0.3014134466648102,0.3014134466648102,0.3014134466648102,54,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,15.554687135973094,,,,,,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,15.554687135973094,,,,,,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,15.554687135973094,,,,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,15.554687135973094,,,,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,15.55468708325762,31.14650821685791,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,51,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,15.55468695214117,,,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,15.55468695214117,,,,,,,,,,,,,,,
