Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Intervalltraining mit hoher Intensität – Dauer (ms)
11:45:00.000+05:30,12:00:00.000+05:30,7,22.17830268926653,327.7643672474502,,,,,,,0.6383334317853789,0.93032306432724,0.3014134466648102,553,,,,,,119236,
12:00:00.000+05:30,12:15:00.000+05:30,2,15.554687384218358,85.48236193553063,,,,,,,0.4946796139910723,0.7377610206604004,0.2511778771877289,142,,,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,15.554687384218358,17.48198127746582,,,,,,,0.2913663387298584,0.2913663387298584,0.2913663387298584,45,,,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,15.554687384218358,,,,,,,,,,,,,,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,15.554687384218358,,,,,,,,,,,,,,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,15.554687384218358,,,,,,,,,,,,,,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,15.554687384218358,,,,,,,,,,,,,,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,15.554687384218358,,,,,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,15.554687384218358,,,,,,,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,15.554687384218358,,,,,,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,1,15.554687384218358,34.29453466974363,,,,,,,0.3192939907312393,0.33717450499534607,0.30141347646713257,57,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,1,15.554687384218358,41.66166306890383,,,,,,,0.3014134466648102,0.3014134466648102,0.3014134466648102,69,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,10,52.348038129189284,,10.0,10,,,,,,,,,,,,619587,,,
15:00:00.000+05:30,15:15:00.000+05:30,1,26.61820621629988,,1.0,1,,,,,,,,,,,,108396,,83286,
15:15:00.000+05:30,15:30:00.000+05:30,,15.554688047909012,31.949828147888184,,,,,,,0.3099996894598007,0.3587743639945984,0.26122501492500305,68,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,15.554688047909012,,,,,,,,,,,9,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,15.554688047909012,,,,,,,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,6,15.554688047909012,275.71686796436353,2.0,2,,,,,0.45486084798637766,1.1823949813842773,0.3014134466648102,435,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,15,62.67205460011331,1145.9118102245957,13.0,13,,,,,1.324279389213752,1.4845287799835205,0.6517765522003174,1660,,,,,,848193,
16:30:00.000+05:30,16:45:00.000+05:30,9,42.931229900307116,505.9027173655834,1.0,1,,,,,0.9804352926346722,1.2017754316329956,0.30141347646713257,796,,,,,,492824,
16:45:00.000+05:30,17:00:00.000+05:30,7,34.870653322518805,312.13935255719167,1.0,1,,,,,0.6917732500933332,1.2084627151489258,0.3014134466648102,512,,,,,,347720,
17:00:00.000+05:30,17:15:00.000+05:30,1,16.566315627124602,56.69668650912304,,,,,,,0.7760371565818788,1.1238828897476196,0.4281914234161377,90,,,,,,18211,
17:15:00.000+05:30,17:30:00.000+05:30,,15.55468628240829,,,,,,,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,15.55468628240829,,,,,,,,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,2,24.39569002992404,75.76760311150925,,,,,,,0.6998917758464813,0.9223370552062988,0.4774464964866638,144,,,,,,159153,
18:00:00.000+05:30,18:15:00.000+05:30,10,39.719552052213714,387.66197185492143,1.0,1,,,,,0.6663729901241323,1.1634920835494995,0.30141347646713257,657,,,,,,435008,
18:15:00.000+05:30,18:30:00.000+05:30,6,29.90178440952581,299.663841627311,1.0,1,,,,,0.9631924125115608,1.276917576789856,0.30141347646713257,471,,,,,,258272,
18:30:00.000+05:30,18:45:00.000+05:30,4,23.177642785780634,154.5778962152488,,,,,,,0.7939581325840108,1.625345230102539,0.4328279197216034,268,,,,,,137226,
18:45:00.000+05:30,19:00:00.000+05:30,5,15.554686518915435,168.76716656915045,,,,,,,0.46051383843774135,0.9731401205062866,0.3014134466648102,276,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,7,15.554686518915435,362.31406931646967,,,,,,,0.8402602740144636,1.1471309661865234,0.4802049398422241,591,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,15.554686518915435,,,,,,,,,,,,,,,,,,
