Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Gehen – Dauer (ms),Krafttraining – Dauer (ms)
13:30:00.000+05:30,13:45:00.000+05:30,,15.450520397898272,,,,,,,,,,,0,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,15.450520397898272,,,,,,,,,,,2,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,2,20.962743612838025,42.856342204095796,,,,,,,0.47856780886650085,0.47856780886650085,0.47856780886650085,148,,,,100937,
14:15:00.000+05:30,14:30:00.000+05:30,3,18.680406087241046,120.50976287555508,,,,,,,0.346425501824455,0.646066427230835,0.2511778771877289,223,,,,59144,
14:30:00.000+05:30,14:45:00.000+05:30,8,33.94006344440324,299.48658752441406,,,,,,,0.5874136020019286,0.9835692644119263,0.30141347646713257,489,,,,338571,
14:45:00.000+05:30,15:00:00.000+05:30,,15.450520574500906,16.879154205322266,,,,,,,0.2813192307949066,0.2813192307949066,0.2813192307949066,69,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,15.450520574500906,,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,15.450520574500906,,,,,,,,,,,14,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,15.450520574500906,,,,,,,,,,,10,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,15.450520574500906,,,,,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,15.450520574500906,,,,,,,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,15.450520574500906,,,,,,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,15.450520574500906,,,,,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,15.450520574500906,,,,,,,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,15.450520574500906,,,,,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,15.450520574500906,,,,,,,,,,,,,,,,
