Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Seilspringen – Dauer (ms)
14:00:00.000+05:30,14:15:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,16.296875765320074,15.691150665283203,,,,,,,0.2615191638469696,0.2615191638469696,0.2615191638469696,25,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,7,16.296875765320074,143.73094177246094,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,229,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,16.296875765320074,,,,,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,1,16.296875765320074,26.361133575439453,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,42,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,21.0800027270007,,,,,,,,,,,,,,,1456,41549
20:45:00.000+05:30,21:00:00.000+05:30,,,,,,,,,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,6,,125.93528859782975,,,,,,,,,,201,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,11,,211.73826486896712,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,337,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,,,,,,,,,,,,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,,,,,,,,,,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,,,,,,,,,,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,,,,,,,,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,,,,,,,,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,,,,,,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,,,,,,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,,,,,,,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,,,,,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,,,,,,,,,,,,,,,,,
