Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms)
11:00:00.000+05:30,11:15:00.000+05:30,,15.554686418920916,17.48198127746582,,,,,,,0.2913663387298584,0.2913663387298584,0.2913663387298584,64,,,,,,
11:15:00.000+05:30,11:30:00.000+05:30,,15.554686418920916,29.53852081298828,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,49,,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,1,19.977939032100366,81.38163757324219,,,,,,,0.30141344981293927,0.30141347646713257,0.3014134168624878,135,,,,,79626,
11:45:00.000+05:30,12:00:00.000+05:30,5,29.95572431788954,168.9240832067984,,,,,,,0.5982299104083172,1.2852858304977417,0.30141347646713257,293,,,,,259243,
12:00:00.000+05:30,12:15:00.000+05:30,2,21.272761584692557,152.58277919516388,1.0,1,,,,,0.6275327949289208,1.1624665260314941,0.2511778771877289,238,,,,,102935,
12:15:00.000+05:30,12:30:00.000+05:30,,15.554687074816183,,,,,,,,,,,,,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,2,15.554687074816183,37.37527084350586,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,62,,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,18.132722936116853,11.248997973996447,,,,,,,,,,19,,,,,46409,
13:00:00.000+05:30,13:15:00.000+05:30,13,61.91409211006873,894.6386607042257,9.0,9,,,,,1.0519685658612985,1.3789558410644531,0.3014134466648102,1365,,,,,834548,
13:15:00.000+05:30,13:30:00.000+05:30,,16.2751526862074,11.764114774536646,,,,,,,0.907053530216217,0.907053530216217,0.907053530216217,26,,,,,12969,
13:30:00.000+05:30,13:45:00.000+05:30,,15.554687318284865,,,,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,15.554687318284865,17.48198127746582,,,,,,,0.2913663387298584,0.2913663387298584,0.2913663387298584,29,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,15.554687318284865,,,,,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,4,15.554687318284865,132.68262248672497,,,,,,,0.3238343997122843,0.5630577206611633,0.30141347646713257,220,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,14,36.37216884067223,852.7016403644817,9.0,9,,,,,1.08166841588865,1.3048889636993408,0.3014134466648102,1277,,,,,185062,83320
14:45:00.000+05:30,15:00:00.000+05:30,2,15.55468704182867,90.54987544682801,,,,,,,0.5963859143446731,0.8898822069168091,0.3014134466648102,147,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,15.55468704182867,,,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,15.55468704182867,,,,,,,,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,15.55468704182867,,,,,,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,15.55468704182867,,,,,,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,15.55468704182867,,,,,,,,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,15.55468704182867,3.5849910749134555,,,,,,,,,,25,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,3,19.03458256634883,70.85844793189196,,,,,,,0.46103410994475436,0.7258880138397217,0.3014134466648102,117,,,,,62644,
16:45:00.000+05:30,17:00:00.000+05:30,,15.554687301187647,,,,,,,,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,15.554687301187647,,,,,,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,15.554687301187647,,,,,,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,1,18.651341417488158,28.33286714553833,,,,,,,0.3014134466648102,0.3014134466648102,0.3014134466648102,47,,,,,55745,
17:45:00.000+05:30,18:00:00.000+05:30,,15.554688014757334,,,,,,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,6,29.458826940977723,224.565417657798,3.0,3,,,,,0.8364454592299769,1.4208984375,0.30141347646713257,342,,,,,250298,
18:15:00.000+05:30,18:30:00.000+05:30,14,65.54999374472061,629.5584385290688,3.0,3,,,,,0.7958010234477676,1.243323564529419,0.3014134466648102,1006,,,,,900000,
