Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Gehen – Dauer (ms),Laufen – Dauer (ms)
09:45:00.000+05:30,10:00:00.000+05:30,2,15.554686034911136,83.08091224193058,,,,,,,0.7448687401169879,0.8837811946868896,0.44689708948135376,134,,,,,
10:00:00.000+05:30,10:15:00.000+05:30,11,38.98474601880032,446.6122895274946,4.0,4,,,,,0.8477504913442798,1.7182402610778809,0.2813192307949066,683,,,,421780,
10:15:00.000+05:30,10:30:00.000+05:30,1,18.372978430125453,36.60267820016648,,,,,,,1.220076084136963,1.220076084136963,1.220076084136963,54,,,,50734,
10:30:00.000+05:30,10:45:00.000+05:30,4,31.585237846740505,153.8676414387382,,,,,,,0.7802029530205766,1.3299378156661987,0.30141347646713257,251,,,,288577,
10:45:00.000+05:30,11:00:00.000+05:30,15,54.17410552775597,756.7151557928781,2.0,2,,,,,0.8604333680101328,1.5714597702026367,0.4954853653907776,1181,,,,695214,
11:00:00.000+05:30,11:15:00.000+05:30,5,32.701121037105025,284.2869632816893,1.0,1,,,,,0.9577247622001577,1.405142903327942,0.26289278268814087,437,,,,308665,
11:15:00.000+05:30,11:30:00.000+05:30,,15.554686609415404,,,,,,,,,,,,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,,15.554686609415404,,,,,,,,,,,,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,15.554686609415404,,,,,,,,,,,,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,,15.554686609415404,,,,,,,,,,,,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,15.554686609415404,,,,,,,,,,,,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,15.554686609415404,,,,,,,,,,,,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,2,19.957551518238876,55.46008110046387,,,,,,,0.46347880363464355,0.6255441308021545,0.30141347646713257,92,,,,79259,
13:00:00.000+05:30,13:15:00.000+05:30,,15.554686959739302,,,,,,,,,,,,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,15.554686959739302,,,,,,,,,,,,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,1,15.554686959739302,20.0967629880796,,,,,,,,,,33,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,7,23.454167113376958,157.9028860217419,,,,,,,0.40264057574121437,0.6076933145523071,0.3014134466648102,262,,,,142204,
14:00:00.000+05:30,14:15:00.000+05:30,14,31.364156566458895,649.6301880263113,,,,,,,0.8641167469566193,2.0812277793884277,0.3014134466648102,1041,,,,284597,
14:15:00.000+05:30,14:30:00.000+05:30,3,24.978025233709715,97.60155487060547,,,,,,,0.575653986851255,0.9313408732414246,0.37319716811180115,178,,,,169636,
14:30:00.000+05:30,14:45:00.000+05:30,7,35.59775135936985,332.4977044723329,2.0,2,,,,,0.9439404557395968,1.3996963500976562,0.3014134466648102,508,,,,360809,
14:45:00.000+05:30,15:00:00.000+05:30,4,20.458726430799118,172.98701289674673,1.0,1,,,,,0.9165272624574702,1.3015819787979126,0.7571147680282593,300,,,,88281,
15:00:00.000+05:30,15:15:00.000+05:30,15,61.92116518726352,931.8904827542452,11.0,11,,,,,1.0915979324238136,1.4560681581497192,0.34951555728912354,1426,,,,834675,
15:15:00.000+05:30,15:30:00.000+05:30,4,27.723600304040712,241.11170878933393,3.0,3,,,,,1.1103477570625104,1.2229348421096802,0.6537308096885681,366,,,,219061,
15:30:00.000+05:30,15:45:00.000+05:30,,15.55468767240547,,,,,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,15.55468767240547,,,,,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,6,40.41463226611074,289.10767290987167,,,,,,,0.8279577730911503,1.3678908348083496,0.30141347646713257,482,,,,447521,
16:15:00.000+05:30,16:30:00.000+05:30,3,26.416445866422556,165.37717892728654,1.0,1,,,,,1.0731545605163186,1.1529849767684937,1.011170744895935,255,,,,195530,
16:30:00.000+05:30,16:45:00.000+05:30,,15.554687450699298,,,,,,,,,,,12,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,15.554687450699298,14.016331214555425,,,,,,,,,,23,,,,,
