Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms)
12:15:00.000+05:30,12:30:00.000+05:30,10,45.33307331378063,31.621662760306556,8.0,8,,,,,0.3407800942659378,0.3801467716693878,0.3014134168624878,437,,,,511790,,
12:30:00.000+05:30,12:45:00.000+05:30,9,22.345863995369914,409.50809264136575,2.0,2,,,,,0.5958174955785468,1.2162675857543945,0.26122501492500305,657,,,,,126264,
12:45:00.000+05:30,13:00:00.000+05:30,6,20.928665795355826,241.36735639566047,,,,,,,0.7417245069526984,1.0865339040756226,0.2813192307949066,465,,,,,100313,
13:00:00.000+05:30,13:15:00.000+05:30,1,15.996861006377685,71.90246170710017,,,,,,,0.8546941087890101,1.1893094778060913,0.2891234755516052,176,,,,,10005,
13:15:00.000+05:30,13:30:00.000+05:30,7,37.80663342459386,218.468302131191,,,,,,,0.7343657770320435,1.1376738548278809,0.3014134466648102,377,,,,,409373,
13:30:00.000+05:30,13:45:00.000+05:30,6,20.890658028295064,209.51398455521615,,,,,,,0.5614628629136359,1.2940263748168945,0.30141347646713257,335,,,,,99617,
13:45:00.000+05:30,14:00:00.000+05:30,1,21.07436509268995,1.3548504171654523,1.0,1,,,,,,,,38,,,,96318,,
14:00:00.000+05:30,14:15:00.000+05:30,15,67.99999781930795,,15.0,15,,,,,,,,1261,,,,900000,,
14:15:00.000+05:30,14:30:00.000+05:30,15,67.99999781930795,,15.0,15,,,,,,,,1088,,,,900000,,
14:30:00.000+05:30,14:45:00.000+05:30,15,67.99999781930795,,15.0,15,,,,,,,,1536,,,,900000,,
14:45:00.000+05:30,15:00:00.000+05:30,15,67.99999781930795,,15.0,15,,,,,,,,1373,,,,900000,,
15:00:00.000+05:30,15:15:00.000+05:30,15,67.99999781930795,,15.0,15,,,,,,,,1448,,,,900000,,
15:15:00.000+05:30,15:30:00.000+05:30,8,29.493985781451144,243.6786699295044,3.0,3,,,,,0.7928949765771744,1.3104853630065918,0.3014134466648102,585,,,,153733,92789,
15:30:00.000+05:30,15:45:00.000+05:30,10,51.87143794828321,639.2944332500473,5.0,5,,,,,0.9847821907507854,1.2803603410720825,0.3014134466648102,994,,,,,666922,
15:45:00.000+05:30,16:00:00.000+05:30,1,18.56696804462418,61.85850845374907,,,,,,,1.1238073110580444,1.227670431137085,1.019944190979004,106,,,,,57066,
16:00:00.000+05:30,16:15:00.000+05:30,,15.45051939095611,,,,,,,,,,,,,,,,,
