Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Gehen – Dauer (ms)
00:00:00.000+05:30,00:15:00.000+05:30,2,15.554686549661751,47.623329162597656,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,79,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,1,15.554686549661751,29.53852081298828,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,49,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,10,39.272628646400825,540.4818879889193,5.0,5,,,,,0.785737979556413,1.2529240846633911,0.30141347646713257,832,,,,,426963
00:45:00.000+05:30,01:00:00.000+05:30,15,65.54999897747487,1141.7702498568624,13.0,13,,,,,1.266687317493027,1.4803900718688965,0.8717924952507019,1667,,,,,900000
01:00:00.000+05:30,01:15:00.000+05:30,7,36.28818662859741,504.0692465841497,5.0,5,,,,,1.1251781574656208,1.474538803100586,0.3014134466648102,741,,,,,373238
01:15:00.000+05:30,01:30:00.000+05:30,,15.554687428991784,,,,,,,,,,,,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,15.554687428991784,,,,,,,,,,,14,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,15.554687428991784,3.616961717605591,,,,,,,,,,21,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,15.554687428991784,,,,,,,,,,,,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,1,15.554687598811896,43.40354061126709,,,,,,,0.27629566192626953,0.3014134466648102,0.2511778771877289,72,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,15.554687824301242,,,,,,,,,,,,,,,,
