Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Intervalltraining mit hoher Intensität – Dauer (ms)
12:00:00.000+05:30,12:15:00.000+05:30,,15.554685891304548,,,,,,,,,,,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,15.554685891304548,,,,,,,,,,,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,15.554685891304548,,,,,,,,,,,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,15.554685891304548,,,,,,,,,,,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,15.554685891304548,,,,,,,,,,,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,15.554685891304548,,,,,,,,,,,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,15.554685891304548,,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,15.554685891304548,,,,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,15.554685891304548,,,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,4,15.554685891304548,112.87392168461943,,,,,,,0.3042816609653088,0.3240652084350586,0.30141347646713257,207,,,,
14:30:00.000+05:30,14:45:00.000+05:30,1,15.554685891304548,28.790411658886427,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,61,,,,
14:45:00.000+05:30,15:00:00.000+05:30,3,15.554685891304548,76.60830020904541,,,,,,,0.457027996550521,0.8559582233428955,0.2813192307949066,140,,,,
15:00:00.000+05:30,15:15:00.000+05:30,5,15.554686415678507,112.12581253051758,,,,,,,0.35317449271678925,0.4049355387687683,0.3014134466648102,186,,,,
15:15:00.000+05:30,15:30:00.000+05:30,8,15.55468754642669,279.66125421257965,,,,,,,0.6110763400793076,0.9207392334938049,0.3014134466648102,450,,,,
15:30:00.000+05:30,15:45:00.000+05:30,15,15.55468754642669,899.5725625938207,1.0,1,,,,,1.013265256270341,1.1088957786560059,0.9577754139900208,1419,,,,
15:45:00.000+05:30,16:00:00.000+05:30,11,15.55468754642669,576.7927584083417,,,,,,,0.7055314760859016,0.9362305402755737,0.3014134466648102,937,,,,
16:00:00.000+05:30,16:15:00.000+05:30,12,15.55468754642669,405.92991687501274,,,,,,,0.7426093787371275,1.000670313835144,0.30141347646713257,662,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,15.554687261998296,16.298029280179193,,,,,,,,,,27,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,15.554687247707225,,,,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,15.554687247707225,,,,,,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,15.554687247707225,,,,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,15.554687411972136,21.09894371032715,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,55,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,15.554687476835573,,,,,,,,,,,,,,,
