Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Gehen – Dauer (ms),Laufen – Dauer (ms),Krafttraining – Dauer (ms)
13:15:00.000+05:30,13:30:00.000+05:30,,15.4505218902423,,,,,,,,,,,,,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,15.4505218902423,,,,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,15.4505218902423,,,,,,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,15.4505218902423,,,,,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,15.4505218902423,,,,,,,,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,15.4505218902423,,,,,,,,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,15.4505218902423,,,,,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,15.4505218902423,,,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,15.4505218902423,,,,,,,,,,,23,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,15.4505218902423,24.113079071044922,,,,,,,0.3380303382873535,0.3380303382873535,0.3380303382873535,59,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,1,16.371069250081682,27.920997142791748,,,,,,,0.5894171893596649,0.5905412435531616,0.5882931351661682,56,,,,,7394,
16:00:00.000+05:30,16:15:00.000+05:30,,15.450520371025421,,,,,,,,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,15.450520371025421,,,,,,,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,15.450520371025421,,,,,,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,15.450520371025421,,,,,,,,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,15.450520371025421,,,,,,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,15.450520371025421,,,,,,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,15.450520371025421,,,,,,,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,15.450520371025421,,,,,,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,15.450520371025421,,,,,,,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,15.450520371025421,,,,,,,,,,,6,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,15.450520371025421,,,,,,,,,,,3,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,15.450520371025421,,,,,,,,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,15.450520371025421,,,,,,,,,,,,,,,,,
