Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Intervalltraining mit hoher Intensität – Dauer (ms)
12:15:00.000+05:30,12:30:00.000+05:30,,15.554686839673144,,,,,,,,,,,,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,1,15.554686839673144,34.04090087672476,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,56,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,4,15.554686839673144,207.87391788700816,1.0,1,,,,,0.4004896120187014,1.0788499116897583,0.30141347646713257,329,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,6,15.554686839673144,229.55881695135426,,,,,,,0.6049990213408796,1.095505952835083,0.3014134466648102,392,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,3,15.554686839673144,71.70552821771314,,,,,,,0.30141350626945496,0.30141350626945496,0.30141350626945496,119,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,15.554686839673144,,,,,,,,,,,16,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,15.554686839673144,,,,,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,15.554686839673144,,,,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,15.554686839673144,,,,,,,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,15.554686839673144,,,,,,,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,15.554686839673144,,,,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,15.554686839673144,,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,15.554686839673144,,,,,,,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,5,15.554686839673144,156.13218307495117,,,,,,,0.5151647925376892,0.7289161086082458,0.30141347646713257,259,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,2,15.554686839673144,62.576064543510306,,,,,,,0.3014134615659714,0.30141347646713257,0.3014134466648102,104,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,15.554686839673144,44.12430624506391,,,,,,,0.3014134466648102,0.3014134466648102,0.3014134466648102,73,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,15.554686839673144,,,,,,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,3,15.554686911764293,88.0127363204956,,,,,,,0.2762956768274307,0.30141347646713257,0.2511778771877289,146,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,15.554687273826971,,,,,,,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,15.554687273826971,,,,,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,15.554687273826971,,,,,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,15.554687273826971,,,,,,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,15.554687273826971,,,,,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,15.554687273826971,,,,,,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,15.554687273826971,,,,,,,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,15.554687273826971,,,,,,,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,15.554687273826971,,,,,,,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,15.554687273826971,,,,,,,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,15.554687273826971,,,,,,,,,,,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,1,15.554687273826971,34.36113739013672,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,57,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,1,15.554686221701635,53.04877185821533,,,,,,,0.43388740718364716,0.6065497994422913,0.26122501492500305,88,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,15.554685923776573,,,,,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,15.554685923776573,,,,,,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,15.554685923776573,,,,,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,7,15.554685923776573,142.8699836730957,,,,,,,0.3048968017101288,0.308380126953125,0.30141347646713257,237,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,15.554685923776573,,,,,,,,,,,,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,15.554685923776573,,,,,,,,,,,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,15.554685923776573,,,,,,,,,,,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,9,15.554685923776573,256.80428314208984,,,,,,,0.3601578739424156,0.6195759773254395,0.30141347646713257,426,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,9,15.554685923776573,221.4672565460205,,,,,,,0.36091710024977736,0.8720431923866272,0.30141347646713257,367,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,15.554685923776573,,,,,,,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,15.554685923776573,,,,,,,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,15.554685923776573,,,,,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,1,15.554685923776573,32.55265522003174,,,,,,,0.31346578896045685,0.3255181312561035,0.3014134466648102,54,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,2,15.554685923776573,53.0487699508667,,,,,,,0.6238584518432617,0.7713481187820435,0.47636878490448,107,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,15.554685923776573,,,,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,15.554686284449119,,,,,,,,,,,16,,,,,
