Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Gehen – Dauer (ms)
12:00:00.000+05:30,12:15:00.000+05:30,,16.29687262377448,,,,,,,,,,,,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,16.29687262377448,,,,,,,,,,,,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,16.29687262377448,,,,,,,,,,,,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,8,16.29687262377448,165.9292545333938,,,,,,,,,,264,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,15,16.29687262377448,282.44070165589017,,,,,,,,,,450,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,15,16.29687262377448,282.44070165589017,,,,,,,0.31382298469543457,0.31382298469543457,0.31382298469543457,450,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,15,16.29687262377448,282.44070165589017,,,,,,,,,,450,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,2,16.29687262377448,55.00218053799828,,,,,,,,,,88,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,16.29687262377448,,,,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,16.29687262377448,,,,,,,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,16.29687262377448,,,,,,,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,1,16.29687262377448,36.95599887865358,,,,,,,,,,59,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,15,16.29687262377448,282.44069477442304,,,,,,,,,,450,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,15,16.29687262377448,282.44069477442304,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,450,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,15,16.29687262377448,282.44069477442304,,,,,,,,,,450,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,11,35.294844386100344,249.87825179430064,,,,,,,0.5287006558351847,0.7328963875770569,0.36993592977523804,398,,,,,322284
16:00:00.000+05:30,16:15:00.000+05:30,,36.49496623296781,,,,,,,,,,,,,,,,342643
16:15:00.000+05:30,16:30:00.000+05:30,,16.296874438465693,,,,,,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,2,16.296874438465693,46.297063714458815,,,,,,,,,,74,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,10,16.296874438465693,189.69783984999432,,,,,,,0.31382298469543457,0.31382298469543457,0.31382298469543457,302,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,16.296874438465693,,,,,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,16.296874438465693,,,,,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,11,16.296874438465693,222.45614617036017,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,354,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,12,23.753776168785222,214.38548667265738,1.0,1,,,,,0.313964307308197,0.313964307308197,0.313964307308197,342,,,,118357,
18:00:00.000+05:30,18:15:00.000+05:30,15,72.99999767821978,,15.0,15,,,,,,,,,,,,900000,
18:15:00.000+05:30,18:30:00.000+05:30,14,16.803106288518222,266.81418794698976,,,,,,,,,,425,,,,8035,
18:30:00.000+05:30,18:45:00.000+05:30,15,16.296873395617432,282.44071023986686,,,,,,,0.31382301449775696,0.31382301449775696,0.31382301449775696,450,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,6,16.296873395617432,129.23045337564338,,,,,,,,,,206,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,16.296873395617432,,,,,,,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,16.296873395617432,,,,,,,,,,,,,,,,
