Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms),Intervalltraining mit hoher Intensität – Dauer (ms)
11:45:00.000+05:30,12:00:00.000+05:30,2,15.554686077923606,70.25615071533001,,,,,,,0.46907487511634827,0.636736273765564,0.30141347646713257,111,,,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,1,15.554686077923606,58.887405879518624,,,,,,,0.45295844972133636,0.6045034527778625,0.3014134466648102,98,,,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,15.554686077923606,,,,,,,,,,,,,,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,15.554686077923606,,,,,,,,,,,,,,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,15.554686077923606,,,,,,,,,,,,,,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,15.554686077923606,19.89328956604004,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,33,,,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,15.554686077923606,,,,,,,,,,,,,,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,15.554686077923606,,,,,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,15.554686077923606,,,,,,,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,15.554686077923606,,,,,,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,15.554686077923606,,,,,,,,,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,1,15.554686077923606,21.09894371032715,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,35,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,15.554686077923606,,,,,,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,6,18.736720711479265,238.21079578408035,1.0,1,,,,,0.6706039838931498,1.3829851150512695,0.30141347646713257,394,,,,,57282,,
15:15:00.000+05:30,15:30:00.000+05:30,15,65.54999360396545,1111.8153540039655,13.0,13,,,,,1.2559527670511643,1.70719575881958,0.9466423988342285,1637,,,,,900000,,
15:30:00.000+05:30,15:45:00.000+05:30,2,21.040681611660993,110.68178161129956,,,,,,,0.8726771290383983,1.190731167793274,0.4961959719657898,188,,,,,98757,,
15:45:00.000+05:30,16:00:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,15.554687843833515,36.772443771362305,,,,,,,0.30336418747901917,0.30531492829322815,0.3014134466648102,113,,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,15.554687843833515,,,,,,,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,11,33.568193441142405,411.3974333278882,2.0,2,,,,,0.7079660467159062,1.296852469444275,0.3027060627937317,640,,,,,84163,105468,
21:00:00.000+05:30,21:15:00.000+05:30,15,65.54999573795872,687.9465910691421,2.0,2,,,,,0.8232539878765828,1.3895987272262573,0.3538946509361267,1075,,,,,900000,,
21:15:00.000+05:30,21:30:00.000+05:30,13,51.66629722831614,556.3996719153481,3.0,3,,,,,0.7484832777130017,1.5258976221084595,0.30141347646713257,888,,,,,650070,,
21:30:00.000+05:30,21:45:00.000+05:30,15,65.54999135959756,1020.2210706969452,11.0,11,,,,,1.1436171609750898,1.414406180381775,0.6210529208183289,1532,,,,,900000,,
21:45:00.000+05:30,22:00:00.000+05:30,11,54.46230376865098,742.1097616848294,8.0,8,,,,,1.1304405011262617,1.4767297506332397,0.31746938824653625,1101,,,,,700402,,
22:00:00.000+05:30,22:15:00.000+05:30,12,46.01266534289526,446.32879163151597,2.0,2,,,,,0.6838781639214917,1.3495081663131714,0.30141347646713257,718,,,,,548295,,
22:15:00.000+05:30,22:30:00.000+05:30,3,26.75458112738786,217.25743578547622,1.0,1,,,,,0.8096046667782651,1.4570116996765137,0.3014134466648102,338,,,,,201617,,
22:30:00.000+05:30,22:45:00.000+05:30,,15.554686338760757,,,,,,,,,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,8,15.554686338760757,252.04894638061523,,,,,,,0.581099299199483,0.9495709538459778,0.26122501492500305,432,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,1,15.554686338760757,51.24029207229614,,,,,,,0.49610766768455505,0.6908018589019775,0.30141347646713257,121,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,4,31.53339974815416,281.01054859161377,2.0,2,,,,,1.1253474544083528,1.562217116355896,0.30141347646713257,410,,,,,287644,,
23:30:00.000+05:30,23:45:00.000+05:30,2,29.580727528251444,,4.0,2,,,,,,,,,,,,,,,120000
23:45:00.000+05:30,00:00:00.000+05:30,15,120.7499935752467,47.62333106994629,30.0,15,,,,,0.2781374454498291,0.30141347646713257,0.25486141443252563,79,,,,,,,900000
