Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms),Intervalltraining mit hoher Intensität – Dauer (ms),Gehen mit Schritttempovorgabe – Dauer (ms)
11:15:00.000+05:30,11:30:00.000+05:30,,15.554687816672471,,,,,,,,,,,,,,,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,,15.554687816672471,,,,,,,,,,,22,,,,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,15.554687816672471,,,,,,,,,,,,,,,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,2,15.554686761191984,63.29683017730713,,,,,,,0.4388675093650818,0.5863686800003052,0.2913663387298584,121,,,,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,15.554686152543942,15.070673942565918,,,,,,,0.2511778771877289,0.2511778771877289,0.2511778771877289,48,,,,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,15.554686152543942,,,,,,,,,,,,,,,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,15.554686152543942,,,,,,,,,,,,,,,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,15.554686152543942,,,,,,,,,,,,,,,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,15.554686152543942,,,,,,,,,,,,,,,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,15.554686152543942,,,,,,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,15.554686152543942,,,,,,,,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,15.554686152543942,,,,,,,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,15.554686152543942,,,,,,,,,,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,15.554686152543942,,,,,,,,,,,,,,,,,,,
