Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Gehen mit Schritttempovorgabe – Dauer (ms)
12:30:00.000+05:30,12:45:00.000+05:30,1,18.87387523411713,18.009755436819397,,,,,,,0.3014134615659714,0.30141347646713257,0.3014134466648102,29,,,,,59751,
12:45:00.000+05:30,13:00:00.000+05:30,5,32.29134040553722,189.64682453449407,,,,,,,0.7260733406057949,1.046575903892517,0.4125278890132904,307,,,,,301288,
13:00:00.000+05:30,13:15:00.000+05:30,1,15.554687917896626,11.351534299281813,,,,,,,,,,40,,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,10,44.7441462570319,667.8176437097513,7.0,7,,,,,1.1838850533890248,1.5203558206558228,0.37902161478996277,990,,,,,525459,
13:30:00.000+05:30,13:45:00.000+05:30,,15.554686632621863,,,,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,10,24.963192816881104,422.6417013974743,2.0,2,,,,,0.7578394492878888,1.5545969009399414,0.3014134466648102,661,,,,,169369,
14:00:00.000+05:30,14:15:00.000+05:30,15,30.101973099590126,1080.805611753838,11.0,10,,,,,1.198569658966432,1.6550538539886475,0.7209709286689758,1599,,,,,261875,
14:15:00.000+05:30,14:30:00.000+05:30,7,15.554686674294029,322.0070792818543,1.0,1,,,,,0.5801735676404369,1.3974822759628296,0.29626554250717163,496,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,15.554686674294029,,,,,,,,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,15.554686674294029,,,,,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,15.554686674294029,,,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,5,29.16352161313193,192.27455139160156,,,,,,,0.6612787393228271,0.8091637492179871,0.27127209305763245,348,,,,,244982,
15:30:00.000+05:30,15:45:00.000+05:30,7,35.2075649911406,359.4657049179077,,,,,,,1.0025834109822163,1.6526991128921509,0.2934841513633728,588,,,,,353785,
15:45:00.000+05:30,16:00:00.000+05:30,,15.554686882539798,,,,,,,,,,,14,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,4,15.554686882539798,125.82357692718506,,,,,,,0.4303901742943445,1.091746211051941,0.3014134466648102,248,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,15.554686882539798,,,,,,,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,15.554686882539798,,,,,,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,3,15.554686882539798,115.28676509857178,,,,,,,0.7128487528211571,1.2187079191207886,0.3014134466648102,205,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,4,26.515326061454296,118.254962682724,,,,,,,0.595721423625946,0.8900293707847595,0.30141347646713257,195,,,,,197310,
17:15:00.000+05:30,17:30:00.000+05:30,,15.632734969940223,,,,,,,,,,,,,,,,1405,
17:30:00.000+05:30,17:45:00.000+05:30,,15.554686730656059,,,,,,,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,15.554686730656059,,,,,,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,15.554686730656059,,,,,,,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,7,15.554686730656059,252.3381552696228,1.0,1,,,,,0.8210341935375693,1.2903927564620972,0.2531734108924866,400,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,15.554686730656059,,,,,,,,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,2,26.544543939794234,62.911787033081055,,,,,,,0.4887576401233673,0.676101803779602,0.30141347646713257,101,,,,,197836,
19:00:00.000+05:30,19:15:00.000+05:30,,15.554687191447359,,,,,,,,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,6,31.185887082912945,225.68431091308594,1.0,1,,,,,1.120451456657354,1.6407766342163086,0.3014134466648102,350,,,,,281388,
19:30:00.000+05:30,19:45:00.000+05:30,2,15.554686356240683,49.43693293894308,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,82,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,15.554686356240683,15.879065508953133,,,,,,,,,,26,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,13,46.51900637283444,622.0147825997061,2.0,2,,,,,0.8242845757452442,1.4236969947814941,0.2913663387298584,975,,,,,557410,
20:15:00.000+05:30,20:30:00.000+05:30,3,17.506060253119955,73.08657162878936,,,,,,,0.4382989310468474,0.6249772906303406,0.30141347646713257,121,,,,,35128,
20:30:00.000+05:30,20:45:00.000+05:30,,15.554687594845271,,,,,,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,15.554687594845271,,,,,,,,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,4,15.554687594845271,154.61954354340753,,,,,,,0.4206443079411095,0.8419814705848694,0.2913663387298584,274,,,,,,
