Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Gehen – Dauer (ms),Intervalltraining mit hoher Intensität – Dauer (ms)
10:00:00.000+05:30,10:15:00.000+05:30,7,15.554686651013393,171.20285511016846,,,,,,,0.3344918497237741,0.41925421357154846,0.26122501492500305,290,,,,,
10:15:00.000+05:30,10:30:00.000+05:30,,15.554686651013393,,,,,,,,,,,10,,,,,
10:30:00.000+05:30,10:45:00.000+05:30,4,15.554686651013393,115.50750180056104,,,,,,,0.4261004328727722,0.5507873892784119,0.30141347646713257,192,,,,,
10:45:00.000+05:30,11:00:00.000+05:30,14,15.554686651013393,823.0475807606315,6.0,6,,,,,0.9390624882767981,1.385853886604309,0.30141347646713257,1269,,,,,
11:00:00.000+05:30,11:15:00.000+05:30,1,15.55468686470919,32.19665455657477,,,,,,,1.0360804796218872,1.0360804796218872,1.0360804796218872,50,,,,,
11:15:00.000+05:30,11:30:00.000+05:30,,15.554686872351615,,,,,,,,,,,,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,,15.554686872351615,54.25442695617676,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,90,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,3,15.554686872351615,74.133065700531,,,,,,,0.30141347646713257,0.30141347646713257,0.30141347646713257,122,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,3,15.554686872351615,109.70315551757812,,,,,,,0.7042922956257398,1.0844383239746094,0.3014134466648102,177,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,15.554686872351615,,,,,,,,,,,,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,15.554686872351615,,,,,,,,,,,,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,15.554686872351615,,,,,,,,,,,12,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,15.554686872351615,,,,,,,,,,,,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,1,15.554686872351615,19.290462493896484,,,,,,,0.3014134466648102,0.3014134466648102,0.3014134466648102,41,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,15.554686872351615,,,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,15.554686872351615,,,,,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,15.554686872351615,,,,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,15.554686872351615,,,,,,,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,15.554686872351615,,,,,,,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,15.554686872351615,,,,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,15.554686872351615,,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,15.554686872351615,,,,,,,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,17.090820414176925,,,,,,,,,,,14,,,,27653,
15:45:00.000+05:30,16:00:00.000+05:30,1,24.141380346108896,48.307937264442444,,,,,,,0.49643874168396,0.6914640069007874,0.30141347646713257,130,,,,154575,
16:00:00.000+05:30,16:15:00.000+05:30,2,15.554686540620443,91.62969589233398,,,,,,,0.4303174621334835,0.6069066524505615,0.30141347646713257,178,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,5,15.554686540620443,118.15408325195312,,,,,,,0.525614857673645,0.7498162388801575,0.30141347646713257,196,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,5,15.554686540620443,110.31733512878418,,,,,,,0.4408132880926132,0.5802131295204163,0.3014134466648102,183,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,15.554686540620443,,,,,,,,,,,12,,,,,
