Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Gehen – Dauer (ms)
12:15:00.000+05:30,12:30:00.000+05:30,1,16.296874660030046,26.988779067993164,,,,,,,0.5379173755645752,0.5379173755645752,0.5379173755645752,54,,,,
12:30:00.000+05:30,12:45:00.000+05:30,3,16.296874660030046,62.76460266113281,,,,,,,0.5589641115179564,0.8344301581382751,0.5095418691635132,133,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,16.296874660030046,,,,,,,,1.4538831946877098,2.488978624343872,0.5116657614707947,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,1,26.854151866474083,20.084672927856445,,,,,,,0.3257671892642975,0.3257671892642975,0.3257671892642975,47,,,,179095
13:15:00.000+05:30,13:30:00.000+05:30,15,34.369082358223515,569.1133017382676,,,26.7838333,81.0349897,26.7838681,81.0350649,0.6783062475000552,3.434556722640991,0.305806428194046,917,,,,306579
13:30:00.000+05:30,13:45:00.000+05:30,1,16.296874900169282,41.60806776666091,,,,,,,0.4034129523498148,0.424932062625885,0.24454237520694733,78,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,16.296874900169282,,,,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,16.296874900169282,,,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,16.296874900169282,,,,,,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,16.296874900169282,,,,,,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,16.296874900169282,,,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,16.296874900169282,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,16.296874900169282,,,,,,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,16.296874900169282,,,,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,4,30.57506197348176,139.337420463562,,,,,,,0.4631823325247305,0.8092372417449951,0.2431337535381317,232,,,,242217
16:00:00.000+05:30,16:15:00.000+05:30,,16.296873146416658,,,,,,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,2,21.649103525726485,90.53374302387238,,,,,,,0.6936915516853333,0.8290435671806335,0.558339536190033,153,,,,90795
16:30:00.000+05:30,16:45:00.000+05:30,,16.296874552982594,,,,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,16.296874552982594,12.5529203414917,,,,,,,0.7949420213699341,0.7949420213699341,0.7949420213699341,41,,,,
17:00:00.000+05:30,17:15:00.000+05:30,2,20.614149185706964,50.80546569824219,,,,,,,1.2161503434181213,1.4555612802505493,0.9767394065856934,106,,,,73239
17:15:00.000+05:30,17:30:00.000+05:30,,16.296874256937304,33.96076488494873,,,,,,,0.6066927164793015,0.899562418460846,0.31382301449775696,70,,,,
17:30:00.000+05:30,17:45:00.000+05:30,2,16.296874256937304,31.135140419006348,,,,,,,0.744001716375351,0.9358591437339783,0.5521442890167236,65,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,16.296874256937304,,,,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,2,26.190809776581716,38.286407470703125,,,,,,,0.8217415809631348,0.8495550751686096,0.7939280867576599,84,,,,167842
18:15:00.000+05:30,18:30:00.000+05:30,1,16.29687342492903,36.68524360656738,,,,,,,0.5168384313583374,0.775978684425354,0.2576981782913208,80,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,16.29687342492903,6.27646017074585,,,,,,,,,,25,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,16.29687342492903,4.492753982543945,,,,,,,,,,11,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,16.29687342492903,,,,,,,,,,,14,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,16.29687342492903,,,,,,,,,,,,,,,
