Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Gehen – Dauer (ms),Laufen – Dauer (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,15.450519658284701,,,,,,,,,,,,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,15.450519658284701,,,,,,,,,,,,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,15.450519658284701,,,,,,,,,,,,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,15.450519658284701,,,,,,,,,,,,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,15.450519658284701,,,,,,,,,,,,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,15.450519658284701,,,,,,,,,,,,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,15.450519658284701,,,,,,,,,,,,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,15.450519658284701,,,,,,,,,,,,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,15.450519658284701,,,,,,,,,,,,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,15.450519658284701,,,,,,,,,,,,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,6,29.23006792471287,221.67226028442383,,,,,,,0.7420851863620626,0.9565780162811279,0.30141347646713257,363,,,,252324,
02:45:00.000+05:30,03:00:00.000+05:30,,15.450520412973194,,,,,,,,,,,,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,15.450520412973194,,,,,,,,,,,42,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,15.450520412973194,,,,,,,,,,,18,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,15.450520412973194,21.701770782470703,,,,,,,0.3014134466648102,0.3014134466648102,0.3014134466648102,36,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,15.450520412973194,,,,,,,,,,,,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,15.450520412973194,,,,,,,,,,,14,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,15.450520412973194,,,,,,,,,,,,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,15.450520412973194,,,,,,,,,,,,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,15.450520412973194,,,,,,,,,,,,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,15.450520412973194,,,,,,,,,,,,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,15.450520412973194,,,,,,,,,,,,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,15.450520412973194,,,,,,,,,,,18,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,15.450520412973194,,,,,,,,,,,42,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,15.450520412973194,,,,,,,,,,,,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,15.450520412973194,,,,,,,,,,,,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,15.450520412973194,,,,,,,,,,,,,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,15.450520412973194,,,,,,,,,,,,,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,15.450520412973194,,,,,,,,,,,,,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,15.450520776674203,,,,,,,,,,,18,,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,15.450520865043082,,,,,,,,,,,,,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,15.450520865043082,,,,,,,,,,,,,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,15.450520865043082,,,,,,,,,,,,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,15.450520865043082,,,,,,,,,,,,,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,15.450520865043082,7.804617825474296,,,,,,,,,,29,,,,,
08:45:00.000+05:30,09:00:00.000+05:30,6,15.450520865043082,142.16291170923384,,,,,,,0.3752081813306103,0.4325167238712311,0.30141347646713257,254,,,,,
09:00:00.000+05:30,09:15:00.000+05:30,3,15.450520865043082,82.72367835103405,,,,,,,0.3014134615659714,0.30141347646713257,0.3014134466648102,173,,,,,
09:15:00.000+05:30,09:30:00.000+05:30,,15.450520865043082,,,,,,,,,,,,,,,,
09:30:00.000+05:30,09:45:00.000+05:30,,15.450520865043082,,,,,,,,,,,38,,,,,
09:45:00.000+05:30,10:00:00.000+05:30,2,15.450520865043082,63.591873814072365,,,,,,,0.4236222505569458,0.545831024646759,0.30141347646713257,105,,,,,
10:00:00.000+05:30,10:15:00.000+05:30,11,48.1009575144376,543.8673022494652,2.0,2,,,,,0.7972408813196569,1.3138998746871948,0.30141347646713257,885,,,,597879,
10:15:00.000+05:30,10:30:00.000+05:30,3,15.450520019205843,155.10091081697027,,,,,,,0.7765669242027329,1.5588421821594238,0.2813192307949066,252,,,,,
10:30:00.000+05:30,10:45:00.000+05:30,13,15.450519928470063,595.8303456326245,3.0,3,,,,,0.6839829026209477,1.3362904787063599,0.3014134466648102,949,,,,,
10:45:00.000+05:30,11:00:00.000+05:30,7,15.450519928470063,208.69047818639817,,,,,,,0.6658410214207707,1.2142125368118286,0.5081064105033875,382,,,,,
11:00:00.000+05:30,11:15:00.000+05:30,11,15.450519928470063,228.15645937595465,,,,,,,0.30141346974265304,0.30141347646713257,0.3014134466648102,387,,,,,
11:15:00.000+05:30,11:30:00.000+05:30,14,15.450519928470063,587.4602343599438,2.0,2,,,,,0.7598800270991964,1.2565536499023438,0.30141347646713257,931,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,5,15.450519928470063,94.4120716132032,,,,,,,0.38628965616226196,0.47116586565971375,0.3014134466648102,156,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,8,15.450519928470063,368.6244872356697,,,,,,,0.5899998884261402,1.1292845010757446,0.2813192307949066,600,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,13,15.450519928470063,475.8477707620407,,,,,,,0.6031123255143029,0.8372535705566406,0.3014134466648102,801,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,11,15.450519928470063,461.346139934645,,,,,,,0.5990434128029185,1.1369653940200806,0.30141347646713257,761,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,15,15.450519928470063,565.7205698780325,,,,,,,0.619112727997605,1.1046291589736938,0.3397960364818573,926,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,1,15.450519928470063,88.4259139221995,,,,,,,0.29819245739427047,0.30141347646713257,0.2813192307949066,151,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,5,15.450519928470063,130.14875411807677,,,,,,,0.3014134615659713,0.30141347646713257,0.3014134466648102,282,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,6,19.500833994075908,176.45583090532332,,,,,,,0.37208016511436653,0.601560652256012,0.30141347646713257,347,,,,74168,
13:30:00.000+05:30,13:45:00.000+05:30,12,29.63412754287192,467.08697715235064,1.0,1,,,,,0.660901020121695,1.286210536956787,0.30141347646713257,754,,,,259723,
13:45:00.000+05:30,14:00:00.000+05:30,9,37.929426854005456,259.5126856333395,,,,,,,0.577681211562022,1.1389005184173584,0.3014134466648102,467,,,,411622,
14:00:00.000+05:30,14:15:00.000+05:30,7,15.45052036367645,327.69965329106844,,,,,,,0.5351478317748413,1.1807941198349,0.30141347646713257,546,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,5,23.752008677561626,233.7692422680247,2.0,2,,,,,0.6419453989655307,1.1964563131332397,0.2511778771877289,381,,,,152013,
14:30:00.000+05:30,14:45:00.000+05:30,2,44.3629743486488,139.4133322151446,,,,,,,0.3702160392294976,1.1298378705978394,0.3014134466648102,248,,,,529430,
