index,reps,words,phoneme
built,39.0,built,B300
threewall,1.0,threewall,T6W4
openroof,1.0,openroof,O610
skylights,1.0,skylights,SY42
electric,5.0,electric,E362
lighting,4.0,lighting,LH35
expose,10.0,expose,E200
adequatelywith,1.0,adequatelywith,A34Y
lights,2.0,lights,LH32
enclosed,1.0,enclosed,E423
hollywood,7.0,hollywood,H4YW
rapidly,2.0,rapidly,R34Y
mattresses,1.0,mattresses,M362
coming,2.0,coming,C520
talkies,2.0,talkies,T200
necessary,2.0,necessary,N26Y
enclose,3.0,enclose,E420
soundproof,1.0,soundproof,S316
eliminate,1.0,eliminate,E530
distractions,1.0,distractions,D362
limiting,3.0,limiting,L352
accessthe,1.0,accessthe,A23H
ceilings,3.0,ceilings,C520
containing,2.0,containing,C352
heavily,8.0,heavily,H4Y0
sturdy,2.0,sturdy,S63Y
accepting,1.0,accepting,A135
features,19.0,features,F620
loads,3.0,loads,L200
less,1.0,less,L200
expensive,2.0,expensive,E521
retrofitting,1.0,retrofitting,R613
existing,6.0,existing,E352
engineering,5.0,engineering,E565
issuesbuildings,1.0,issuesbuildings,I214
without,1.0,without,WH30
soundproofing,1.0,soundproofing,S316
dialog,1.0,dialog,D200
sounds,3.0,sounds,S320
separate,1.0,separate,S630
involves,2.0,involves,I412
principal,12.0,principal,P521
actors,7.0,actors,A620
synchronized,2.0,synchronized,S52H
replacement,1.0,replacement,R425
cut,1.0,cut,C000
specialized,1.0,specialized,S242
secondary,3.0,secondary,S536
dubbing,5.0,dubbing,D152
filming,9.0,filming,F520
effectsa,1.0,effectsa,E232
caution,1.0,caution,C500
making,21.0,making,M520
anywhere,6.0,anywhere,AWH6
range,22.0,range,R200
audio,1.0,audio,A000
equipmentan,1.0,equipmentan,E535
easier,2.0,easier,E000
design,24.0,design,D250
build,1.0,build,B300
sets,8.0,sets,S200
specifications,4.0,specifications,S212
precise,1.0,precise,P200
scale,5.0,scale,S400
detail,1.0,detail,D400
architectural,2.0,architectural,AH32
plan,15.0,plan,P500
carpenters,3.0,carpenters,C153
electrician,2.0,electrician,E362
credited,5.0,credited,C300
gaffer,1.0,gaffer,G160
assistant,7.0,assistant,A235
boy,10.0,boy,B000
regardless,3.0,regardless,R634
gender,1.0,gender,G360
painted,2.0,painted,P300
dresser,3.0,dresser,D260
furnishes,1.0,furnishes,F52H
everything,3.0,everything,EY3H
designer,6.0,designer,D256
selected,19.0,selected,S230
interioron,1.0,interioron,I650
camera,2.0,camera,C600
wants,14.0,wants,W320
achieving,3.0,achieving,A152
desired,1.0,desired,D630
framework,4.0,framework,F5W6
catwalks,1.0,catwalks,CW42
suspended,3.0,suspended,S153
cinematographer,2.0,cinematographer,C532
grips,1.0,grips,G120
bounce,2.0,bounce,B200
technicians,1.0,technicians,TH52
light,8.0,light,LH30
shottelevision,1.0,shottelevision,S341
cameras,1.0,cameras,C620
cinema,5.0,cinema,C500
universally,4.0,universally,U624
choice,8.0,choice,C200
varies,15.0,varies,V200
trying,6.0,trying,TY52
achieverental,1.0,achieverental,A165
entails,2.0,entails,E420
saves,5.0,saves,S200
setting,6.0,setting,S352
personnel,3.0,personnel,P254
supplies,1.0,supplies,S142
readily,7.0,readily,R4Y0
available,18.0,available,A140
eliminates,1.0,eliminates,E532
move,1.0,move,M000
location,3.0,location,L350
locationwith,1.0,locationwith,L35W
screen,5.0,screen,S650
greenscreen,4.0,greenscreen,G526
techniques,7.0,techniques,TH52
whereby,5.0,whereby,W61Y
backgrounds,1.0,backgrounds,B265
inserted,4.0,inserted,I630
electronically,3.0,electronically,E365
behind,16.0,behind,B530
extensive,5.0,extensive,E521
achievedthe,1.0,achievedthe,A13H
soundstage,2.0,soundstage,S323
refers,3.0,refers,R620
depth,20.0,depth,D3H0
richness,1.0,richness,RH52
relates,2.0,relates,R320
playback,6.0,playback,PY12
audiophiles,2.0,audiophiles,AH42
quality,10.0,quality,Q3Y0
dependent,2.0,dependent,D535
pick,9.0,pick,P200
instruments,1.0,instruments,I365
voices,1.0,voices,V200
located,2.0,located,L300
imaginary,5.0,imaginary,I56Y
field,1.0,field,F300
enhance,1.0,enhance,E520
listeners,4.0,listeners,L356
involvement,1.0,involvement,I415
perception,1.0,perception,P213
capture,2.0,capture,C360
environment,1.0,environment,E653
dubbed,1.0,dubbed,D130
volume,1.0,volume,V500
simultaneously,1.0,simultaneously,S435
primarily,9.0,primarily,P564
liveaction,4.0,liveaction,L235
computergenerated,1.0,computergenerated,C136
imagery,1.0,imagery,I6Y0
technologies,1.0,technologies,TH54
producing,4.0,producing,P325
digital,7.0,digital,D340
industriesthe,1.0,industriesthe,I236
latest,1.0,latest,L230
technology,14.0,technology,TH54
software,16.0,software,S3W6
basic,5.0,basic,B200
previsualisation,1.0,previsualisation,P124
effects,11.0,effects,E232
sensors,3.0,sensors,S262
detecting,3.0,detecting,D235
staging,4.0,staging,S252
composition,1.0,composition,C123
surfaces,3.0,surfaces,S120
assisting,1.0,assisting,A235
creative,4.0,creative,C310
virtual,3.0,virtual,V340
conventional,5.0,conventional,C153
product,11.0,product,P323
surrounded,4.0,surrounded,S653
screens,3.0,screens,S652
extend,2.0,extend,E530
leds,1.0,leds,L200
unreal,3.0,unreal,U400
static,1.0,static,S320
similarly,17.0,similarly,S464
parallax,1.0,parallax,P420
volumes,1.0,volumes,V520
allow,2.0,allow,AW00
scenery,4.0,scenery,S56Y
adaptively,1.0,adaptively,A314
distort,3.0,distort,D363
ought,1.0,ought,O300
environmentbenefits,1.0,environmentbenefits,E653
setup,1.0,setup,S100
dusk,2.0,dusk,D200
sources,1.0,sources,S200
manipulated,3.0,manipulated,M143
portions,1.0,portions,P352
offscreen,2.0,offscreen,O265
turned,11.0,turned,T530
add,4.0,add,A000
fill,1.0,fill,F400
darken,2.0,darken,D250
typical,1.0,typical,T124
greenblue,1.0,greenblue,G514
chroma,3.0,chroma,C650
keying,1.0,keying,K520
solid,1.0,solid,S300
color,1.0,color,C600
performers,1.0,performers,P165
space,1.0,space,S200
inform,5.0,inform,I650
lackthe,1.0,lackthe,L23H
controlled,1.0,controlled,C364
allows,4.0,allows,AW20
directors,3.0,directors,D236
cinematographers,1.0,cinematographers,C532
ability,1.0,ability,A3Y0
better,9.0,better,B360
greater,6.0,greater,G360
beneficial,6.0,beneficial,B124
behave,3.0,behave,B100
perfectly,4.0,perfectly,P123
realistically,3.0,realistically,R232
transparent,4.0,transparent,T521
translucent,3.0,translucent,T524
reflective,5.0,reflective,R423
materials,2.0,materials,M642
types,1.0,types,T120
eyeglasses,1.0,eyeglasses,E420
glassware,2.0,glassware,G2W6
shiny,1.0,shiny,S5Y0
armor,1.0,armor,A600
difficult,2.0,difficult,D124
flow,18.0,flow,FW00
technique,1.0,technique,TH52
minimizes,2.0,minimizes,M520
tedious,2.0,tedious,T200
rotoscoping,1.0,rotoscoping,R215
picked,5.0,picked,P230
keyingthe,1.0,keyingthe,K523
downside,1.0,downside,D523
whatever,1.0,whatever,W316
case,12.0,case,C000
normal,6.0,normal,N540
contrast,4.0,contrast,C362
segment,1.0,segment,S530
essentially,2.0,essentially,E534
swapped,1.0,swapped,S130
younger,1.0,younger,Y260
kamal,1.0,kamal,K400
thapabefore,1.0,thapabefore,T160
president,38.0,president,P235
anfa,2.0,anfa,A000
thapa,5.0,thapa,T100
player,17.0,player,PY60
bengal,5.0,bengal,B240
calcutta,3.0,calcutta,C230
dhaka,1.0,dhaka,D200
mohammedan,1.0,mohammedan,M535
scfollowing,1.0,scfollowing,S14W
corruption,2.0,corruption,C613
mohammed,5.0,mohammed,M530
bin,13.0,bin,B000
hammam,2.0,hammam,H500
sunday,1.0,sunday,S3Y0
nepal,1.0,nepal,N400
ganesh,1.0,ganesh,G2H0
banned,5.0,banned,B530
asian,9.0,asian,A000
executive,1.0,executive,E310
illegal,3.0,illegal,I240
gift,1.0,gift,G300
money,9.0,money,MY00
deposited,6.0,deposited,D230
thapas,2.0,thapas,T120
son,49.0,son,S000
gaurav,2.0,gaurav,G100
borrowed,5.0,borrowed,B6W3
revelation,2.0,revelation,R435
tarnish,1.0,tarnish,T52H
nepali,4.0,nepali,N400
fifa,1.0,fifa,F000
ethics,2.0,ethics,E200
committee,1.0,committee,C530
parliament,1.0,parliament,P453
appealed,2.0,appealed,A430
arbitration,3.0,arbitration,A363
mani,2.0,mani,M000
kunwar,1.0,kunwar,KW60
brotherinlaw,5.0,brotherinlaw,B3H6
vice,6.0,vice,V000
stated,18.0,stated,S300
concerned,1.0,concerned,C265
clean,1.0,clean,C500
chit,2.0,chit,C300
prove,3.0,prove,P100
innocent,6.0,innocent,I253
relation,3.0,relation,R350
nepalese,1.0,nepalese,N420
iton,4.0,iton,I000
stenehjem,1.0,stenehjem,S5H2
auto,1.0,auto,A000
accident,1.0,accident,A353
soldotna,1.0,soldotna,S350
alaska,1.0,alaska,A200
livethis,1.0,livethis,L3H2
dakota,6.0,dakota,D300
itspeaker,1.0,itspeaker,I126
mauritius,2.0,mauritius,M320
presiding,1.0,presiding,P235
speaker,4.0,speaker,S260
list,2.0,list,L300
speakers,3.0,speakers,S262
legislative,1.0,legislative,L243
mauritiusupon,1.0,mauritiusupon,M321
publication,8.0,publication,P423
obituary,1.0,obituary,O6Y0
matthew,1.0,matthew,M3HW
sobol,2.0,sobol,S400
brilliant,3.0,brilliant,B453
programmer,1.0,programmer,P265
cto,1.0,cto,C000
cyberstorm,3.0,cyberstorm,C162
entertainment,15.0,entertainment,E635
daemon,30.0,daemon,D500
activated,3.0,activated,A130
dying,4.0,dying,D520
brain,2.0,brain,B500
cancer,7.0,cancer,C260
fearful,9.0,fearful,F140
humanity,3.0,humanity,H53Y
envision,2.0,envision,E250
becomes,21.0,becomes,B520
tool,3.0,tool,T000
vision,5.0,vision,V500
daemons,3.0,daemons,D520
mission,3.0,mission,M250
kill,2.0,kill,K400
programmers,7.0,programmers,P265
joseph,10.0,joseph,J1H0
pavlos,2.0,pavlos,P420
chopra,2.0,chopra,C160
singh,7.0,singh,S2H0
worked,1.0,worked,W230
unknowingly,2.0,unknowingly,U5W5
creation,5.0,creation,C350
daemonthe,1.0,daemonthe,D53H
secretly,1.0,secretly,S634
companies,10.0,companies,C152
resources,5.0,resources,R620
recruiting,6.0,recruiting,R635
agents,3.0,agents,A320
driverless,6.0,driverless,D164
cars,1.0,cars,C200
transport,2.0,transport,T521
weapons,10.0,weapons,W520
razorbacks,1.0,razorbacks,R612
swordwielding,1.0,swordwielding,S63W
robotic,1.0,robotic,R320
riderless,1.0,riderless,R642
motorcycles,3.0,motorcycles,M62Y
creates,3.0,creates,C320
online,1.0,online,O500
hidden,4.0,hidden,H350
darknet,4.0,darknet,D253
operatives,3.0,operatives,O312
freely,4.0,freely,F4Y0
implements,2.0,implements,I453
algorithm,2.0,algorithm,A63H
community,3.0,community,C53Y
recruited,1.0,recruited,R630
interlocking,2.0,interlocking,I642
charactersdetective,1.0,charactersdetective,C623
pete,2.0,pete,P000
sebeck,10.0,sebeck,S200
investigate,4.0,investigate,I232
death,1.0,death,DH00
connection,1.0,connection,C523
fbi,1.0,fbi,F000
agent,3.0,agent,A300
decker,3.0,decker,D260
investigation,10.0,investigation,I232
selects,3.0,selects,S232
serve,7.0,serve,S100
frames,16.0,frames,F520
multimillion,1.0,multimillion,M354
scheme,6.0,scheme,SH50
hoax,2.0,hoax,H000
knowing,2.0,knowing,KW52
truth,2.0,truth,T3H0
fasttracks,1.0,fasttracks,F362
sebecks,1.0,sebecks,S200
trial,1.0,trial,T400
executes,2.0,executes,E320
peace,1.0,peace,P000
loves,1.0,loves,L200
affair,10.0,affair,A600
chris,5.0,chris,C620
estranged,1.0,estranged,E652
proclaims,2.0,proclaims,P245
innocence,4.0,innocence,I252
lethal,2.0,lethal,LH40
injection,3.0,injection,I235
awakens,4.0,awakens,A520
learn,6.0,learn,L500
faked,2.0,faked,F300
task,4.0,task,T200
deserves,1.0,deserves,D612
freedom,1.0,freedom,F350
operative,5.0,operative,O310
laney,1.0,laney,LY00
price,4.0,price,P200
vanishes,2.0,vanishes,V2H2
americajon,1.0,americajon,A250
ross,12.0,ross,R200
russian,104.0,russian,R250
hacker,2.0,hacker,H260
thief,13.0,thief,T100
questioned,2.0,questioned,Q353
unfortunately,1.0,unfortunately,U635
methods,2.0,methods,MH32
useless,3.0,useless,U200
sobols,4.0,sobols,S420
eventually,17.0,eventually,E34Y
deduces,1.0,deduces,D200
anticipate,2.0,anticipate,A213
seemingly,2.0,seemingly,S524
tries,14.0,tries,T200
interfere,3.0,interfere,I616
put,15.0,put,P000
fbis,1.0,fbis,F200
willingly,3.0,willingly,W452
helps,8.0,helps,H120
nsas,1.0,nsas,N200
antidaemon,4.0,antidaemon,A350
phillips,2.0,phillips,P412
firsthand,2.0,firsthand,F23H
witness,1.0,witness,W520
lokis,2.0,lokis,L200
attack,1.0,attack,A200
installation,1.0,installation,I343
barely,1.0,barely,B4Y0
survives,4.0,survives,S120
massacre,1.0,massacre,M260
immunity,1.0,immunity,I53Y
rescinded,1.0,rescinded,R253
underground,2.0,underground,U626
intent,1.0,intent,I530
destroying,2.0,destroying,D36Y
ownagent,1.0,ownagent,O253
roy,21.0,roy,R000
tripwire,1.0,tripwire,T1W6
merritt,5.0,merritt,M630
secure,1.0,secure,S600
automated,4.0,automated,A300
hummer,1.0,hummer,H560
attacks,12.0,attacks,A200
approaches,4.0,approaches,A62H
longtime,2.0,longtime,L235
expert,2.0,expert,E630
hostage,3.0,hostage,H320
situations,10.0,situations,S352
realizes,1.0,realizes,R200
estate,2.0,estate,E300
trap,3.0,trap,T100
herring,3.0,herring,H652
fear,4.0,fear,F000
quickly,6.0,quickly,Q24Y
lone,2.0,lone,L000
survivor,1.0,survivor,S160
infiltrating,1.0,infiltrating,I436
accidentally,2.0,accidentally,A353
triggering,2.0,triggering,T265
bomb,1.0,bomb,B100
levels,1.0,levels,L420
blamed,1.0,blamed,B530
failure,1.0,failure,F600
relieved,1.0,relieved,R130
duty,2.0,duty,DY00
onto,1.0,onto,O000
loki,6.0,loki,L000
infiltrated,1.0,infiltrated,I436
pursues,3.0,pursues,P200
publicity,3.0,publicity,P423
chase,1.0,chase,C200
generate,1.0,generate,G630
kills,6.0,kills,K420
enemy,6.0,enemy,EY00
folk,3.0,folk,F200
burning,5.0,burning,B520
man,2.0,man,M000
users,8.0,users,U200
respect,4.0,respect,R123
tenacitynsa,1.0,tenacitynsa,T23Y
natalie,4.0,natalie,N400
philips,2.0,philips,P412
genius,7.0,genius,G200
workaholic,2.0,workaholic,W2H4
cryptographer,1.0,cryptographer,CY13
joins,2.0,joins,J200
finds,19.0,finds,F320
plenty,1.0,plenty,P53Y
attracted,2.0,attracted,A623
jon,2.0,jon,J000
attraction,1.0,attraction,A623
mutual,1.0,mutual,M400
security,12.0,security,S63Y
precedence,2.0,precedence,P235
remain,1.0,remain,R500
professional,15.0,professional,P125
murder,2.0,murder,M360
protect,3.0,protect,P323
infected,29.0,infected,I230
corporate,10.0,corporate,C163
wrath,5.0,wrath,W3H0
handful,3.0,handful,H314
survivors,1.0,survivors,S162
dutiesbrian,1.0,dutiesbrian,D216
gragg,1.0,gragg,G200
aka,2.0,aka,A000
stormbringer,1.0,stormbringer,S651
sociopathic,1.0,sociopathic,S13H
loner,2.0,loner,L600
avid,4.0,avid,A000
gamer,4.0,gamer,G600
theft,4.0,theft,T130
cyber,1.0,cyber,C160
crimes,1.0,crimes,C520
afoul,1.0,afoul,A000
hackers,1.0,hackers,H262
philippines,17.0,philippines,P415
crime,6.0,crime,C500
jason,13.0,jason,J500
heider,1.0,heider,H600
needing,4.0,needing,N520
lie,1.0,lie,L000
low,1.0,low,L000
outthinking,1.0,outthinking,OH52
behavior,2.0,behavior,B160
useful,3.0,useful,U400
hated,1.0,hated,H300
feared,2.0,feared,F300
act,5.0,act,A000
infiltrate,3.0,infiltrate,I436
triggers,3.0,triggers,T262
leaves,7.0,leaves,L200
pursued,2.0,pursued,P230
escapes,1.0,escapes,E120
witnesses,2.0,witnesses,W520
executing,3.0,executing,E352
vowing,2.0,vowing,V520
betraying,1.0,betraying,B6Y5
manthe,1.0,manthe,M3H0
unnamed,3.0,unnamed,U530
secret,8.0,secret,S630
dod,1.0,dod,D000
liaison,1.0,liaison,L500
everyone,5.0,everyone,EY50
checkered,2.0,checkered,C263
loyalty,8.0,loyalty,L43Y
militaryindustrial,1.0,militaryindustrial,M36Y
complex,16.0,complex,C142
massacres,1.0,massacres,M262
situation,7.0,situation,S350
leveling,2.0,leveling,L452
merritts,1.0,merritts,M632
pursuit,1.0,pursuit,P230
attract,8.0,attract,A623
realizing,1.0,realizing,R252
underestimated,2.0,underestimated,U623
retreats,2.0,retreats,R632
prepares,2.0,prepares,P162
agentsanji,1.0,agentsanji,A325
anderson,21.0,anderson,A625
recently,11.0,recently,R534
reporter,2.0,reporter,R636
looks,4.0,looks,L200
hindered,3.0,hindered,H363
relegated,5.0,relegated,R230
fluff,1.0,fluff,F100
pieces,7.0,pieces,P200
pretty,3.0,pretty,P3Y0
job,11.0,job,J000
benefit,4.0,benefit,B130
propaganda,1.0,propaganda,P125
spokesman,5.0,spokesman,S250
daemoncharles,1.0,daemoncharles,D52H
mosely,1.0,mosely,M4Y0
drug,5.0,drug,D200
dealer,2.0,dealer,D600
convicted,14.0,convicted,C123
killer,6.0,killer,K460
escape,10.0,escape,E100
transferring,5.0,transferring,T521
releasing,9.0,releasing,R252
altogether,1.0,altogether,A23H
travels,3.0,travels,T142
daemoncontrolled,1.0,daemoncontrolled,D525
interrogated,2.0,interrogated,I623
ai,1.0,ai,A000
deemed,1.0,deemed,D300
acceptable,1.0,acceptable,A131
jobs,1.0,jobs,J200
participating,2.0,participating,P321
massive,2.0,massive,M210
worldwide,6.0,worldwide,W43W
spammers,1.0,spammers,S562
corrupt,7.0,corrupt,C613
internet,12.0,internet,I653
mosleys,1.0,mosleys,M4Y2
request,5.0,request,R230
locate,3.0,locate,L300
missing,67.0,missing,M252
sent,16.0,sent,S300
live,1.0,live,L000
educate,6.0,educate,E300
safe,19.0,safe,S000
familylike,1.0,familylike,F4Y4
settingon,1.0,settingon,S352
dutton,7.0,dutton,D350
imprint,2.0,imprint,I653
penguin,2.0,penguin,P250
rights,13.0,rights,RH32
sequel,6.0,sequel,S400
verdugo,1.0,verdugo,V320
f,7.0,f,F000
parkes,3.0,parkes,P200
produced,4.0,produced,P323
wargames,1.0,wargames,W252
optioned,2.0,optioned,O530
paramount,1.0,paramount,P530
reverted,6.0,reverted,R630
suarez,2.0,suarez,S200
alandalus,1.0,alandalus,A342
andalusian,2.0,andalusian,A425
arabic,12.0,arabic,A200
port,2.0,port,P300
saint,4.0,saint,S300
ubes,2.0,ubes,U000
saintyves,1.0,saintyves,S3Y1
frenchthe,1.0,frenchthe,F52H
holiday,1.0,holiday,H3Y0
pedro,28.0,pedro,P600
v,1.0,v,V000
recognised,1.0,recognised,R252
citythe,1.0,citythe,CY3H
sado,6.0,sado,S000
estuary,2.0,estuary,E6Y0
approximately,1.0,approximately,A625
kilometres,55.0,kilometres,K536
portugals,2.0,portugals,P324
capital,18.0,capital,C340
lisbon,5.0,lisbon,L150
seat,14.0,seat,S000
estremadura,1.0,estremadura,E653
provincein,1.0,provincein,P152
beginning,13.0,beginning,B520
important,1.0,important,I635
fishing,45.0,fishing,FH52
particularly,1.0,particularly,P324
specializing,7.0,specializing,S242
processing,3.0,processing,P252
exporting,2.0,exporting,E635
sardines,1.0,sardines,S352
factories,8.0,factories,F362
operating,10.0,operating,O352
maritime,2.0,maritime,M350
ports,2.0,ports,P320
commercial,11.0,commercial,C562
marines,13.0,marines,M520
links,3.0,links,L200
ocean,7.0,ocean,O000
alive,4.0,alive,A000
vibrant,2.0,vibrant,V653
tourism,2.0,tourism,T250
beautiful,4.0,beautiful,B140
conditions,8.0,conditions,C352
plus,4.0,plus,P200
excellent,1.0,excellent,E453
hotels,9.0,hotels,H420
resorts,2.0,resorts,R632
infrastructures,1.0,infrastructures,I623
citys,3.0,citys,CY20
appreciated,1.0,appreciated,A623
interconnection,2.0,interconnection,I625
atlantic,1.0,atlantic,A532
offers,7.0,offers,O620
unspoiled,1.0,unspoiled,U143
beaches,24.0,beaches,BH20
dolphin,1.0,dolphin,D1H5
colony,3.0,colony,C5Y0
inhabits,6.0,inhabits,I132
peninsula,1.0,peninsula,P524
vast,2.0,vast,V300
whitegolden,1.0,whitegolden,W324
sand,23.0,sand,S300
luxury,1.0,luxury,L6Y0
sighted,3.0,sighted,SH30
albarquel,1.0,albarquel,A624
figueirinha,1.0,figueirinha,F65H
galapinhos,1.0,galapinhos,G15H
creiro,1.0,creiro,C600
portinho,1.0,portinho,P35H
da,1.0,da,D000
hillsin,1.0,hillsin,H425
cetobriga,1.0,cetobriga,C162
turdetani,1.0,turdetani,T350
settlement,9.0,settlement,S345
lusitaniathe,1.0,lusitaniathe,L353
monument,11.0,monument,M530
monastery,13.0,monastery,M236
jesus,3.0,jesus,J200
portuguese,2.0,portuguese,P320
gothic,6.0,gothic,GH20
manuelinealso,1.0,manuelinealso,M454
manueline,1.0,manueline,M450
portals,1.0,portals,P342
castelo,1.0,castelo,C340
filipe,1.0,filipe,F100
fortress,19.0,fortress,F362
overseeing,1.0,overseeing,O252
pousadateatro,1.0,pousadateatro,P360
municipality,6.0,municipality,M214
divided,1.0,divided,D300
parishes,10.0,parishes,P2H2
mediterranean,2.0,mediterranean,M365
climate,8.0,climate,C530
csa,1.0,csa,C000
mild,7.0,mild,M300
rainy,1.0,rainy,RY00
winters,1.0,winters,W362
warm,1.0,warm,W500
hot,4.0,hot,H000
dry,5.0,dry,DY00
summers,6.0,summers,S562
temperatures,1.0,temperatures,T163
winter,4.0,winter,W360
vary,1.0,vary,VY00
night,1.0,night,NH30
precipitation,1.0,precipitation,P213
starting,6.0,starting,S635
falls,8.0,falls,F420
summer,3.0,summer,S560
scarce,1.0,scarce,S620
temperature,2.0,temperature,T163
weather,2.0,weather,WH60
maximiliano,1.0,maximiliano,M545
herrera,1.0,herrera,H600
iberian,1.0,iberian,I500
census,1.0,census,C200
labor,15.0,labor,L600
unemployed,1.0,unemployed,U14Y
primary,3.0,primary,P56Y
sector,8.0,sector,S360
tertiary,8.0,tertiary,T36Y
industries,2.0,industries,I236
pulp,3.0,pulp,P100
cement,5.0,cement,C530
fertilizers,2.0,fertilizers,F342
pesticides,2.0,pesticides,P323
phytopharmaceutical,1.0,phytopharmaceutical,PY31
products,1.0,products,P323
thermal,6.0,thermal,T654
shipbuilding,3.0,shipbuilding,S143
ship,18.0,ship,S100
repair,2.0,repair,R600
lot,4.0,lot,L000
automobile,1.0,automobile,A140
assembling,1.0,assembling,A514
manufacturers,13.0,manufacturers,M123
halls,1.0,halls,H420
market,1.0,market,M230
tradenames,1.0,tradenames,T352
currently,14.0,currently,C653
cargo,15.0,cargo,C200
throughput,2.0,throughput,T62H
million,54.0,million,M450
tons,2.0,tons,T200
busiest,2.0,busiest,B230
salt,1.0,salt,S300
bay,11.0,bay,B000
exported,8.0,exported,E630
australia,28.0,australia,A640
twinned,3.0,twinned,T530
cooperation,1.0,cooperation,C635
protocols,1.0,protocols,P324
fort,5.0,fort,F300
centuriescruzeiro,1.0,centuriescruzeiro,C362
entrance,11.0,entrance,E652
gothicmanueline,1.0,gothicmanueline,GH25
seaportjardim,1.0,seaportjardim,S632
bonfim,1.0,bonfim,B150
parklargo,1.0,parklargo,P246
manesson,1.0,manesson,M250
mallet,1.0,mallet,M430
travaux,1.0,travaux,T120
mars,2.0,mars,M200
ou,3.0,ou,O000
lart,1.0,lart,L300
guerreopostegoides,1.0,guerreopostegoides,G612
scioterma,1.0,scioterma,S365
opostegidae,2.0,opostegidae,O323
probably,5.0,probably,P14Y
southern,1.0,southern,SH65
canada,20.0,canada,C300
oregon,3.0,oregon,O500
columbia,10.0,columbia,C510
ontario,3.0,ontario,O600
mainethe,1.0,mainethe,M3H0
forewings,2.0,forewings,FW52
adults,1.0,adults,A320
collected,23.0,collected,C423
midjune,1.0,midjune,M250
augustthe,1.0,augustthe,A3H0
larvae,1.0,larvae,L100
feed,1.0,feed,F000
ribes,3.0,ribes,R200
grossularia,1.0,grossularia,G246
nigrum,1.0,nigrum,N650
sativum,1.0,sativum,S150
mine,4.0,mine,M000
bark,7.0,bark,B200
cambial,1.0,cambial,C140
cylinder,3.0,cylinder,C453
shoots,1.0,shoots,S320
canes,1.0,canes,C200
seasons,14.0,seasons,S520
growth,7.0,growth,GW3H
slender,7.0,slender,S536
linear,8.0,linear,L600
tunnel,2.0,tunnel,T540
normally,4.0,normally,N54Y
curves,13.0,curves,C120
ends,1.0,ends,E200
narrow,2.0,narrow,N6W0
ellipse,1.0,ellipse,E120
larva,4.0,larva,L100
completes,1.0,completes,C143
circle,8.0,circle,C240
reinvades,1.0,reinvades,R132
initial,14.0,initial,I400
feeding,1.0,feeding,F520
enlarging,1.0,enlarging,E625
itafter,4.0,itafter,I360
dropping,1.0,dropping,D152
constructs,4.0,constructs,C236
flattened,3.0,flattened,F353
oval,13.0,oval,O000
densely,15.0,densely,D24Y
woven,1.0,woven,W500
cream,1.0,cream,C500
brown,10.0,brown,BW50
cocoon,1.0,cocoon,C500
soil,1.0,soil,S000
layer,1.0,layer,L600
pupal,1.0,pupal,P400
weeksthis,1.0,weeksthis,W23H
relating,11.0,relating,R352
itdirected,1.0,itdirected,I623
cowritten,8.0,cowritten,C635
tom,1.0,tom,T000
lin,2.0,lin,L000
shuyu,1.0,shuyu,SY00
praised,11.0,praised,P230
realistic,1.0,realistic,R232
themes,2.0,themes,T520
screened,2.0,screened,S653
toronto,4.0,toronto,T530
festival,7.0,festival,F314
tsang,1.0,tsang,T520
hong,3.0,hong,H200
kong,4.0,kong,K200
adaptation,2.0,adaptation,A350
noon,4.0,noon,N000
heiward,1.0,heiward,H630
awarded,1.0,awarded,A300
talent,2.0,talent,T530
awards,13.0,awards,A320
shanghai,2.0,shanghai,S52H
nominated,1.0,nominated,N530
grand,1.0,grand,G530
prize,8.0,prize,P200
awardsit,1.0,awardsit,A323
screenplay,7.0,screenplay,S651
horse,2.0,horse,H200
taiwanese,4.0,taiwanese,T520
klaus,1.0,klaus,K200
heymann,1.0,heymann,H500
germanborn,1.0,germanborn,G516
resident,1.0,resident,R353
classical,1.0,classical,C240
budget,19.0,budget,B230
pricing,2.0,pricing,P252
simpler,5.0,simpler,S146
artwork,11.0,artwork,AW62
naxos,8.0,naxos,N200
eastern,24.0,eastern,E650
european,1.0,european,E500
symphony,13.0,symphony,S51H
orchestras,4.0,orchestras,OH23
lesserknown,3.0,lesserknown,L262
conductors,7.0,conductors,C323
upcoming,4.0,upcoming,U520
musicians,3.0,musicians,M252
minimize,5.0,minimize,M520
costs,6.0,costs,C320
pricesin,1.0,pricesin,P250
taken,12.0,taken,T500
advantage,4.0,advantage,A532
expiring,2.0,expiring,E652
copyrights,1.0,copyrights,CY62
studio,2.0,studio,S300
selling,1.0,selling,S452
discs,11.0,discs,D200
remastered,1.0,remastered,R236
gramophone,1.0,gramophone,G51H
opera,6.0,opera,O000
enrico,2.0,enrico,E200
caruso,1.0,caruso,C200
amelita,1.0,amelita,A300
gallicurci,1.0,gallicurci,G426
titta,1.0,titta,T300
ruffo,1.0,ruffo,R100
performance,1.0,performance,P165
howard,2.0,howard,H630
hansons,1.0,hansons,H252
merry,1.0,merry,M6Y0
mount,1.0,mount,M300
prevented,2.0,prevented,P153
composers,7.0,composers,C126
leonardo,6.0,leonardo,L630
balada,1.0,balada,B300
bechara,1.0,bechara,BH60
elkhoury,1.0,elkhoury,EH6Y
laurent,7.0,laurent,L530
petitgirard,1.0,petitgirard,P326
alla,1.0,alla,A000
